Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",MAN GROUP LIMITED,,,"100,844,940",2.6366,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",PEPPER PRIME RMBS,,,"375,938",0.0098,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",PIMCO AUSTRALIA PTY LTD,,,"73,649,336",1.9256,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",PLENTI 2022-1 ABS,,,"285,211",0.0075,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",RESOLVE SOCIAL BENEFIT BOND,,,"348,211",0.0091,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",SHENKMAN CAPITAL MANAGEMENT,,,"370,845",0.0097,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",TORRENS TRUST 2015-1,,,"91,802",0.0024,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",VINCENTCARE VICTORIA,,,"488,936",0.0128,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",WESTPAC BANKING CORPORATION,,,"49,883",0.0013,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",YARAN,,,"7,236,234",0.1892,
EIBAIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",Total,,,"895,500,222",23.4130,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BRITISH LAND COMPANY PLC,GB0001367019,"180,310.0000","1,263,659",0.0330,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GECINA SA,FR0010040865,"9,981.0000","1,494,551",0.0391,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NIPPON PROLOGIS REIT INC,JP3047550003,212.0000,"731,074",0.0191,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SEGRO PLC,GB00B5ZN1N88,"9,851.0000","133,424",0.0035,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ASAHI HOLDINGS INC,JP3116700000,"167,813.0000","3,610,250",0.0944,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ATOS SE,FR0000051732,"2,802.0000","39,735",0.0010,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CDL HOSPITALITY TRUSTS,SG1T66931158,"27,664.0000","38,019",0.0010,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTERFACE INC,US4586653044,"45,030.0000","655,375",0.0171,
EIBAIO,31 Dec 2022,International Shares (Listed equity),JM AB,SE0000806994,"29,629.0000","721,645",0.0189,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MASTERBRAND INC-W/I,US57638P1049,"37,913.0000","422,091",0.0110,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NATIONAL EXPRESS GROUP PLC,GB0006215205,"141,927.0000","327,275",0.0086,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NFI GROUP INC,CA62910L1022,"28,133.0000","291,481",0.0076,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PEDIATRIX MEDICAL GROUP INC,US58502B1061,"33,269.0000","728,999",0.0191,
EIBAIO,31 Dec 2022,International Shares (Listed equity),STRATASYS LTD,IL0011267213,"32,414.0000","566,877",0.0148,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TENNANT CORPORATION,US8803451033,"36,576.0000","3,320,750",0.0868,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VOSSLOH AG,DE0007667107,"11,782.0000","724,986",0.0190,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ACUITY BRANDS INC-W/D,US00508Y1029,"7,831.0000","1,912,503",0.0500,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ASMPT LIMITED,KYG0535Q1331,"63,815.0000","670,958",0.0175,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AVNET INCORPORATED,US0538071038,"42,540.0000","2,608,308",0.0682,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BARRATT DEVELOPMENTS PLC,GB0000811801,"131,592.0000","926,199",0.0242,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BENESSE HOLDINGS INC,JP3835620000,"73,495.0000","1,647,670",0.0431,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BERKELEY GROUP HOLDINGS PLC,GB00BLJNXL82,"19,170.0000","1,282,954",0.0335,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BLACKBERRY LTD,CA09228F1036,"14,945.0000","71,726",0.0019,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BORALEX INC -A,CA09950M3003,"35,464.0000","1,544,594",0.0404,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CITY DEVELOPMENTS LTD,SG1R89002252,"217,560.0000","1,968,605",0.0515,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CREDIT SAISON CO LTD,JP3271400008,"74,848.0000","1,422,867",0.0372,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EUTELSAT COMMUNICATIONS,FR0010221234,"21,557.0000","236,118",0.0062,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GILDAN ACTIVEWEAR INC,CA3759161035,"55,466.0000","2,238,308",0.0585,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HULIC CO LTD,JP3360800001,"297,063.0000","3,452,736",0.0903,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HYSAN DEVELPOMENT COMPANY     LIMITED HK$5,HK0014000126,"415,484.0000","1,985,996",0.0519,
EIBAIO,31 Dec 2022,International Shares (Listed equity),IGM FINANCIAL INC,CA4495861060,"124,508.0000","5,122,002",0.1339,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INNERGEX RENEWABLE ENERGY,CA45790B1040,"89,128.0000","1,571,377",0.0411,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTERRENT REAL ESTATE INVEST,CA46071W2058,2.0000,28,0.0000,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ITRON INC,US4657411066,"12,950.0000","967,241",0.0253,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ITV PLC ORD GBP 0-10,GB0033986497,"157,040.0000","209,363",0.0055,
EIBAIO,31 Dec 2022,International Shares (Listed equity),J SAINSBURY PLC,GB00B019KW72,"487,714.0000","1,883,336",0.0492,
EIBAIO,31 Dec 2022,International Shares (Listed equity),JBG SMITH PROPERTIES,US46590V1008,"114,688.0000","3,209,867",0.0839,
EIBAIO,31 Dec 2022,International Shares (Listed equity),JUNGHEINRICH AG PREFERENCE,DE0006219934,"21,808.0000","912,227",0.0239,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KAMIGUMI CO LTD,JP3219000001,"120,040.0000","3,604,743",0.0942,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KION GROUP AG,DE000KGX8881,"11,073.0000","466,495",0.0122,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KURITA WATER INDS,JP3270000007,"29,554.0000","1,803,422",0.0472,
EIBAIO,31 Dec 2022,International Shares (Listed equity),LITTELFUSE INC,US5370081045,"6,736.0000","2,187,323",0.0572,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MANPOWERGROUP,US56418H1005,"23,307.0000","2,859,748",0.0748,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MEDICLINIC INTERNATIONAL PLC,GB00B8HX8Z88,"172,557.0000","1,524,281",0.0399,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MILLERKNOLL INC,US6005441000,"29,884.0000","925,845",0.0242,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MILLICOM INTERNATIONAL CELLULAR SA SDR,SE0001174970,"9,999.0000","187,003",0.0049,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NGK INSULATORS Y50,JP3695200000,"200,918.0000","3,767,836",0.0985,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NMC HEALTH PLC DELIST,GB00B7FC0762,645.0000,"10,740",0.0003,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NOMURA REAL ESTATE HOLDINGS INC,JP3762900003,"56,509.0000","1,787,244",0.0467,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NORDEX SE,DE000A0D6554,"16,497.0000","342,712",0.0090,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NORTHLAND POWER INC,CA6665111002,1.0000,41,0.0000,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NORTHWEST HEALTHCARE PROPERT INV TRUST,CA6674951059,7.0000,73,0.0000,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ODAKYU ELECTRIC RAILWAY CO LTD,JP3196000008,"91,042.0000","1,740,897",0.0455,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ORMAT TECHNOLOGIES INC,US6866881021,"12,539.0000","1,599,068",0.0418,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PATTERSON COMPANIES INC,US7033951036,"55,884.0000","2,309,848",0.0604,
EIBAIO,31 Dec 2022,International Shares (Listed equity),POWER INTEGRATIONS INC,US7392761034,"17,501.0000","1,850,867",0.0484,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PROSIEBENSAT.1 MEDIA SE,DE000PSM7770,"61,662.0000","810,299",0.0212,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SCHIBSTED ASA  A-SHARES,NO0003028904,"11,129.0000","309,039",0.0081,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SENSATA TECHNOLOGIES HOLDING,GB00BFMBMT84,"43,257.0000","2,575,701",0.0673,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SUZUKEN CO LTD,JP3398000004,"51,157.0000","2,041,058",0.0534,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TAYLOR WIMPEY PLC,GB0008782301,"504,775.0000","910,142",0.0238,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELE2 AB-B SHARES,SE0005190238,"51,043.0000","614,739",0.0161,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELENET GROUP HOLDING NV,BE0003826436,"23,953.0000","574,866",0.0150,
EIBAIO,31 Dec 2022,International Shares (Listed equity),THE MACERICH COMPANY,US5543821012,"43,687.0000","725,371",0.0190,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TOTO LIMITED                  JPY 50 COMMON,JP3596200000,"23,710.0000","1,192,404",0.0312,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TREND MICRO INC,JP3637300009,"11,336.0000","777,872",0.0203,
EIBAIO,31 Dec 2022,International Shares (Listed equity),U-HAUL HOLDING COMPANY,US0235865062,91.0000,"7,385",0.0002,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VALEO SA,FR0013176526,"16,076.0000","422,517",0.0110,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VITESCO TECHNOLOGIES GROUP A,DE000VTSC017,"6,530.0000","557,539",0.0146,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VORNADO REALTY TRUST,US9290421091,"48,311.0000","1,482,491",0.0388,
EIBAIO,31 Dec 2022,International Shares (Listed equity),3I GROUP PLC NPV,GB00B1YW4409,"97,347.0000","2,316,422",0.0606,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ACCENTURE PLC,IE00B4BNMY34,"23,833.0000","9,377,809",0.2452,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ADOBE INC,US00724F1012,"7,519.0000","3,731,125",0.0976,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ADVANCED MICRO DEVICES,US0079031078,"28,910.0000","2,761,215",0.0722,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AEGON NV,NL0000303709,"187,349.0000","1,396,967",0.0365,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AIA GROUP LIMITED,HK0000069689,"262,954.0000","4,312,248",0.1127,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AKAMAI TECHNOLOGIES INC,US00971T1016,"16,184.0000","2,011,766",0.0526,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ALEXANDRIA REAL ESTATE EQUITIES INC,US0152711091,"17,504.0000","3,760,045",0.0983,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ALLEGION PLC,IE00BFRT3W74,"31,307.0000","4,859,284",0.1270,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ALLIANZ SE HOLDING DDM5 (REGD),DE0008404005,"17,971.0000","5,681,744",0.1485,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ALPHABET INC-CL A,US02079K3059,"158,072.0000","20,565,730",0.5377,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AMERICAN EXPRESS COMPANY,US0258161092,"41,865.0000","9,121,141",0.2385,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AMERIPRISE FINANCIAL INC,US03076C1062,"9,724.0000","4,464,568",0.1167,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AMGEN INC,US0311621009,"17,541.0000","6,793,395",0.1776,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AMUNDI SA,FR0004125920,"24,048.0000","2,005,830",0.0524,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ANALOG DEVICES INC,US0326541051,"28,042.0000","6,782,847",0.1773,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ANSYS INC,US03662Q1058,"11,550.0000","4,114,685",0.1076,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AON PLC/ IRELAND,IE00BLP1HW54,"17,609.0000","7,793,377",0.2038,
EIBAIO,31 Dec 2022,International Shares (Listed equity),APPLE INC,US0378331005,"209,146.0000","40,071,202",1.0477,
EIBAIO,31 Dec 2022,International Shares (Listed equity),APPLIED MATERIALS INC,US0382221051,"27,211.0000","3,907,389",0.1022,
EIBAIO,31 Dec 2022,International Shares (Listed equity),APTIV PLC,JE00B783TY65,"13,979.0000","1,919,683",0.0502,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ARISTA NETWORKS INC,US0404131064,"20,496.0000","3,667,581",0.0959,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ASML HOLDING NV,NL0010273215,"4,730.0000","3,750,433",0.0981,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ASSA ABLOY AB-B ORDINARY SHARES,SE0007100581,"56,426.0000","1,786,385",0.0467,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AT&T INC,US00206R1023,"250,327.0000","6,795,725",0.1777,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ATLASSIAN CORP PLC-CLASS A,US0494681010,"1,775.0000","336,769",0.0088,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AUTODESK INC,US0527691069,"6,815.0000","1,877,999",0.0491,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AVALONBAY COMMUNITIES INC,US0534841012,"13,649.0000","3,250,935",0.0850,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AVIVA PLC,GB00BPQY8M80,"289,587.0000","2,274,527",0.0595,
EIBAIO,31 Dec 2022,International Shares (Listed equity),AXA SA,FR0000120628,"119,893.0000","4,916,134",0.1285,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BIOGEN INC,US09062X1037,"3,832.0000","1,564,768",0.0409,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BLOCK INC,US8522341036,"8,416.0000","779,854",0.0204,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BOSTON PROPERTIES INC,US1011211018,"24,746.0000","2,466,057",0.0645,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BROADCOM INC,US11135F1012,"12,117.0000","9,990,248",0.2612,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BROOKFIELD RENEWABLE COR-W/I,CA11284V1058,"38,255.0000","1,551,661",0.0406,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BROOKFIELD RENEWABLE ENERGY,BMG162581083,"39,813.0000","1,485,310",0.0388,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BT GROUP PLC-W/I,GB0030913577,"651,501.0000","1,294,883",0.0339,
EIBAIO,31 Dec 2022,International Shares (Listed equity),BUREAU VERITAS SA,FR0006174348,"50,396.0000","1,951,857",0.0510,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CADENCE DESIGN SYSTEMS INC,US1273871087,"15,010.0000","3,555,574",0.0930,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CANADIAN NATIONAL RAILWAY,CA1363751027,"36,388.0000","6,378,826",0.1668,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CANADIAN PACIFIC RAILWAY LTD,CA13645T1003,"55,338.0000","6,086,621",0.1591,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CAPGEMINI SA,FR0000125338,"6,855.0000","1,682,471",0.0440,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CARDINAL HEALTH INC,US14149Y1082,"32,518.0000","3,686,001",0.0964,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CBRE GROUP INC,US12504L1098,"47,747.0000","5,418,602",0.1417,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CHUBB LIMITED,CH0044328745,"34,806.0000","11,322,273",0.2960,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CHUGHAI PHARM,JP3519400000,"65,628.0000","2,470,247",0.0646,
EIBAIO,31 Dec 2022,International Shares (Listed equity),COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,US1924461023,"36,149.0000","3,048,496",0.0797,
EIBAIO,31 Dec 2022,International Shares (Listed equity),CONTINENTAL AG NPV,DE0005439004,"11,756.0000","1,035,698",0.0271,
EIBAIO,31 Dec 2022,International Shares (Listed equity),DAI-ICHI LIFE HOLDINGS INC,JP3476480003,"83,906.0000","2,807,555",0.0734,
EIBAIO,31 Dec 2022,International Shares (Listed equity),DAIWA HOUSE INDUSTRIES Y50,JP3505000004,"90,991.0000","3,090,383",0.0808,
EIBAIO,31 Dec 2022,International Shares (Listed equity),DASSAULT SYSTEMES SE,FR0014003TT8,"13,775.0000","726,138",0.0190,
EIBAIO,31 Dec 2022,International Shares (Listed equity),DELL TECHNOLOGIES -C  W/I,US24703L2025,"32,311.0000","1,916,287",0.0501,
EIBAIO,31 Dec 2022,International Shares (Listed equity),DIGITAL REALTY TRUST INC,US2538681030,"14,738.0000","2,179,175",0.0570,
EIBAIO,31 Dec 2022,International Shares (Listed equity),DOCUSIGN INC,US2561631068,"4,830.0000","394,713",0.0103,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EAST JAPAN RAILWAY CO,JP3783600004,"44,324.0000","3,725,114",0.0974,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EATON CORP PLC,IE00B8KQN827,"36,411.0000","8,426,844",0.2203,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EDENRED,FR0010908533,"13,275.0000","1,062,951",0.0278,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ELEVANCE HEALTH INC,US0367521038,"9,576.0000","7,243,423",0.1894,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ELIA GROUP SA/NV,BE0003822393,"6,206.0000","1,297,123",0.0339,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ELISA OYJ,FI0009007884,"41,502.0000","3,230,438",0.0845,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ENPHASE ENERGY INC,US29355A1079,"2,952.0000","1,153,537",0.0302,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EQUINIX INC,US29444U7000,"4,001.0000","3,864,585",0.1010,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EQUITY RESIDENTIAL,US29476L1070,"38,707.0000","3,367,587",0.0880,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ESSILORLUXOTTICA,FR0000121667,"14,258.0000","3,796,644",0.0993,
EIBAIO,31 Dec 2022,International Shares (Listed equity),EXPERIAN PLC,GB00B19NLV48,"40,090.0000","2,000,385",0.0523,
EIBAIO,31 Dec 2022,International Shares (Listed equity),FIDELITY NATIONAL INFORMATION SERVICES INC,US31620M1062,"24,394.0000","2,440,669",0.0638,
EIBAIO,31 Dec 2022,International Shares (Listed equity),FIRST SOLAR INC,US3364331070,"2,713.0000","599,146",0.0157,
EIBAIO,31 Dec 2022,International Shares (Listed equity),FONDIARIA-SAI SPA,IT0004827447,"1,367,686.0000","4,954,870",0.1295,
EIBAIO,31 Dec 2022,International Shares (Listed equity),FORTINET INC,US34959E1091,"19,479.0000","1,404,277",0.0367,
EIBAIO,31 Dec 2022,International Shares (Listed equity),FORTUNE BRANDS INNOVATIONS INC,US34964C1062,"37,913.0000","3,192,799",0.0835,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GARTNER INC,US3666511072,"6,482.0000","3,213,071",0.0840,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GEBERIT AG,CH0030170408,"3,683.0000","2,556,522",0.0668,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GETLINK SE,FR0010533075,"75,737.0000","1,784,916",0.0467,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GJENSIDIGE FORSIKRING ASA,NO0010582521,"62,656.0000","1,802,645",0.0471,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GODADDY INC - CLASS A,US3802371076,"30,739.0000","3,391,387",0.0887,
EIBAIO,31 Dec 2022,International Shares (Listed equity),GREAT-WEST LIFECO INC,CA39138C1068,"188,513.0000","6,421,506",0.1679,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HANKYU HANSHIN HOLDINGS INC,JP3774200004,"104,402.0000","4,573,801",0.1196,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HEALTHPEAK PROPERTIES INC,US42250P1030,"98,303.0000","3,634,072",0.0950,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HENRY SCHEIN INC,US8064071025,"49,823.0000","5,867,982",0.1534,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HKT TRUST AND HKT LTD,HK0000093390,"1,524,283.0000","2,756,015",0.0721,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HOST HOTELS AND RESORTS INC,US44107P1049,"65,772.0000","1,556,657",0.0407,
EIBAIO,31 Dec 2022,International Shares (Listed equity),HUMANA INCORPORATED,US4448591028,"7,252.0000","5,477,244",0.1432,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INCYTE CORPORATION,US45337C1027,"29,411.0000","3,483,408",0.0911,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INFINEON TECHNOLOGIES AG,DE0006231004,"19,973.0000","893,616",0.0234,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ING GROEP NV-CVA,NL0011821202,"203,290.0000","3,643,373",0.0953,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTACT FINANCIAL CORP,CA45823T1066,"20,066.0000","4,256,474",0.1113,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTEL CORPORATION,US4581401001,"95,040.0000","3,704,077",0.0968,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTERNATIONAL BUSINESS MACHINE COMMON SHARES,US4592001014,"22,158.0000","4,603,420",0.1204,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTESA SANPAOLO,IT0000072618,"1,426,327.0000","4,664,500",0.1220,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INTUIT INC,US4612021034,"7,855.0000","4,508,455",0.1179,
EIBAIO,31 Dec 2022,International Shares (Listed equity),INVESCO LIMITED,BMG491BT1088,"68,903.0000","1,827,875",0.0478,
EIBAIO,31 Dec 2022,International Shares (Listed equity),IQVIA HOLDINGS INC,US46266C1053,"16,135.0000","4,874,891",0.1275,
EIBAIO,31 Dec 2022,International Shares (Listed equity),JACK HENRY & ASSOCIATES INC,US4262811015,"14,002.0000","3,624,966",0.0948,
EIBAIO,31 Dec 2022,International Shares (Listed equity),JONES LANG LASALLE INCORPORATED,US48020Q1076,"8,145.0000","1,914,179",0.0500,
EIBAIO,31 Dec 2022,International Shares (Listed equity),JUNIPER NETWORKS INC,US48203R1041,"116,299.0000","5,480,962",0.1433,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KDDI CORP,JP3496400007,"77,355.0000","3,442,468",0.0900,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KLA CORP,US4824801009,"7,166.0000","3,984,044",0.1042,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KONINKLIJKE KPN NV,NL0000009082,"1,249,430.0000","5,682,643",0.1486,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KYOCERA CORPORATION           JPY 50 COMMON,JP3249600002,"49,955.0000","3,657,934",0.0956,
EIBAIO,31 Dec 2022,International Shares (Listed equity),KYOWA KIRIN CO LTD,JP3256000005,"58,853.0000","1,986,352",0.0519,
EIBAIO,31 Dec 2022,International Shares (Listed equity),LAM RESEARCH CORPORATION,US5128071082,"4,529.0000","2,807,161",0.0734,
EIBAIO,31 Dec 2022,International Shares (Listed equity),LEGAL & GENERAL GROUP PLC 2-5P,GB0005603997,"589,282.0000","2,607,938",0.0682,
EIBAIO,31 Dec 2022,International Shares (Listed equity),LEGRAND SA,FR0010307819,"21,685.0000","2,553,404",0.0668,
EIBAIO,31 Dec 2022,International Shares (Listed equity),LENNOX INTERNATIONAL INC,US5261071071,"8,805.0000","3,105,989",0.0812,
EIBAIO,31 Dec 2022,International Shares (Listed equity),LIBERTY GLOBAL PLC-SERIES C,GB00B8W67B19,"172,203.0000","4,933,871",0.1290,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MANULIFE FINANCIAL CORPORATION,CA56501R1064,"441,503.0000","11,603,844",0.3034,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MARVELL TECHNOLOGY INC,US5738741041,"25,692.0000","1,403,285",0.0367,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MASTERCARD INC CLASS A,US57636Q1040,"24,714.0000","12,672,641",0.3313,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MERCADOLIBRE INC,US58733R1023,484.0000,"603,721",0.0158,
EIBAIO,31 Dec 2022,International Shares (Listed equity),META PLATFORMS INC,US30303M1027,"29,028.0000","5,151,058",0.1347,
EIBAIO,31 Dec 2022,International Shares (Listed equity),METTLER-TOLEDO INTERNATIONAL INC,US5926881054,"2,603.0000","5,548,670",0.1451,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MICROCHIP TECHNOLOGY INC,US5950171042,"35,920.0000","3,721,012",0.0973,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MICRON TECHNOLOGY INC $US0-01 COM STK,US5951121038,"34,185.0000","2,519,455",0.0659,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MICROSOFT CORP,US5949181045,"94,191.0000","33,309,675",0.8709,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MID-AMERICA APARTMENT COMMUNITIES INC,US59522J1034,"20,730.0000","4,798,977",0.1255,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MITSUBISHI ESTATE Y50,JP3899600005,"110,189.0000","2,107,028",0.0551,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MSCI INCORPORATED,US55354G1004,"5,988.0000","4,107,285",0.1074,
EIBAIO,31 Dec 2022,International Shares (Listed equity),MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT REGD,DE0008430026,"6,631.0000","3,172,454",0.0829,
